67,78,94,41,70
59,3,17,84,64
5,79,56,42,36
49,4,57,90,71
19,2,9,5,43
24,69,42,65,76
88,22,80,78,53
37,62,80,82,83
5,14,91,57,72
15,34,19,18,60
69,93,58,76,65
11,65,88,85,64
8,94,33,4,77
1,6,13,50,95
19,64,69,20,25
84,48,74,14,79
17,71,57,56,17
45,38,48,51,75
69,28,58,37,4
66,94,48,70,27
2,79,80,94,59
31,56,78,14,21
72,58,14,85,63
99,95,58,4,0
50,96,2,75,34
73,12,58,92,0
4,100,43,84,53
49,27,74,48,50
9,29,77,83,7
75,42,96,100,57
62,81,87,18,54
17,69,9,75,53
59,17,39,37,56
15,54,87,15,12
66,88,11,76,81
29,63,32,38,72
91,52,56,77,47
13,87,60,78,27
72,92,51,86,48
53,76,20,23,25
38,90,96,60,10
87,32,74,64,19
0,36,40,97,89
23,89,96,48,71
77,27,58,63,6
73,65,16,43,79
68,11,30,6,25
3,27,61,79,67
1,38,92,78,86
78,68,91,68,64
54,18,90,76,72
52,62,5,20,15
86,78,47,89,76
1,51,19,30,24
47,97,100,68,43
36,74,91,8,15
7,5,93,8,22
77,53,68,5,9
14,74,90,52,45
81,30,6,24,22
86,67,84,30,44
63,97,62,14,14
48,51,9,50,38
37,67,87,84,66
28,23,65,88,28
71,29,26,28,45
66,63,77,82,73
35,9,93,16,18
29,5,80,26,52
64,81,29,13,9
61,59,99,42,82
48,56,70,34,74
11,50,99,18,34
21,65,48,25,80
63,88,18,80,34
6,60,97,82,38
30,93,21,56,28
0,35,30,27,3
37,60,51,21,74
34,72,25,95,18
77,36,27,74,86
74,88,51,2,78
81,48,60,70,18
64,40,88,4,4
17,57,35,89,17
81,13,24,38,39
3,72,4,66,85
55,34,56,10,62
46,27,47,18,9
72,40,31,83,67
4,86,94,61,75
62,87,40,1,42
39,67,82,62,41
20,89,82,47,41
64,70,59,5,42
13,14,92,64,0
57,93,8,7,32
2,66,14,99,11
31,89,45,54,84
58,30,46,66,16
